14/02/17,06:05:00,5,1517,13.288
14/02/17,06:05:00,7,1422,22.500
14/02/17,06:05:00,6,1521,0.000
14/02/17,06:05:00,4,1623,0.000
14/02/17,06:00:00,5,1517,13.296
14/02/17,06:00:00,7,1422,22.700
14/02/17,06:00:00,6,1521,0.000
14/02/17,06:00:00,4,1623,0.000
14/02/17,05:55:00,5,1517,13.284
14/02/17,05:55:00,7,1422,22.500
14/02/17,05:55:00,6,1521,0.000
14/02/17,05:55:00,4,1623,0.000
14/02/17,05:50:00,5,1517,13.284
14/02/17,05:50:00,7,1422,22.700
14/02/17,05:50:00,6,1521,0.000
14/02/17,05:50:00,4,1623,0.000
14/02/17,05:45:01,5,1517,13.296
14/02/17,05:45:00,7,1422,22.500
14/02/17,05:45:00,6,1521,0.000
14/02/17,05:45:00,4,1623,0.000
14/02/17,05:40:00,5,1517,13.284
14/02/17,05:40:00,7,1422,22.500
14/02/17,05:40:00,6,1521,0.000
14/02/17,05:40:00,4,1623,0.000
14/02/17,05:35:00,5,1517,13.284
14/02/17,05:35:00,7,1422,23.000
14/02/17,05:35:00,6,1521,0.000
14/02/17,05:35:00,4,1623,0.000
14/02/17,05:30:00,5,1517,13.284
14/02/17,05:30:00,7,1422,23.000
14/02/17,05:30:00,6,1521,0.000
14/02/17,05:30:00,4,1623,0.000
14/02/17,05:25:00,5,1517,13.288
14/02/17,05:25:00,7,1422,23.000
14/02/17,05:25:00,6,1521,0.000
14/02/17,05:25:00,4,1623,0.000
14/02/17,05:20:00,5,1517,13.288
14/02/17,05:20:00,7,1422,23.200
14/02/17,05:20:00,6,1521,0.000
14/02/17,05:20:00,4,1623,0.000
14/02/17,05:15:00,5,1517,13.284
14/02/17,05:15:00,7,1422,23.200
14/02/17,05:15:00,6,1521,0.000
14/02/17,05:15:00,4,1623,0.000
14/02/17,05:10:00,5,1517,13.284
14/02/17,05:10:00,7,1422,23.700
14/02/17,05:10:00,6,1521,0.000
14/02/17,05:10:00,4,1623,0.000
14/02/17,05:05:00,5,1517,13.284
14/02/17,05:05:00,7,1422,24.000
14/02/17,05:05:00,6,1521,0.000
14/02/17,05:05:00,4,1623,0.000
